Wall time,Step,Value
1719212085.4047744,2884000,27.95027732849121
1719212114.9596703,2888000,24.052213668823242
1719212144.7207615,2892000,32.73462677001953
1719212174.3154995,2896000,24.990922927856445
1719212204.054825,2900000,25.775442123413086
1719212227.9741902,2904000,26.636890411376953
1719212253.4414787,2908000,25.8513126373291
1719212284.0507057,2912000,25.68870735168457
1719212314.773717,2916000,27.99706268310547
1719212343.8273957,2920000,26.6523494720459
1719212373.6313848,2924000,24.38431167602539
1719212403.2361295,2928000,22.414844512939453
1719212434.010035,2932000,23.952281951904297
1719212462.4707167,2936000,25.3089656829834
1719212487.1055934,2940000,26.247583389282227
1719212514.0297177,2944000,25.329513549804688
1719212545.508701,2948000,25.56402015686035
1719212574.4136426,2952000,29.38376808166504
1719212604.860336,2956000,24.639244079589844
1719212634.6929307,2960000,27.00083351135254
1719212666.3714933,2964000,24.901824951171875
1719212695.792645,2968000,22.20890998840332
1719212726.5616713,2972000,28.614940643310547
1719212751.8441446,2976000,23.579971313476562
1719212775.5350475,2980000,32.03660202026367
1719212808.1630528,2984000,27.191749572753906
1719212837.5837421,2988000,25.440673828125
1719212867.8544886,2992000,23.27415657043457
1719212896.926872,2996000,26.385147094726562
1719212927.9265523,3000000,21.065107345581055
1719212958.8090186,3004000,25.319244384765625
1719212988.1228275,3008000,26.305057525634766
1719213018.3006146,3012000,26.417133331298828
1719213042.9417143,3016000,26.490955352783203
1719213068.7364707,3020000,25.883031845092773
1719213098.802937,3024000,26.361825942993164
1719213128.6250293,3028000,28.397233963012695
1719213158.7322168,3032000,25.90397071838379
1719213190.205488,3036000,24.1007137298584
1719213221.034021,3040000,25.729684829711914
1719213250.9772854,3044000,26.12067413330078
1719213279.9127584,3048000,27.3272647857666
1719213304.446368,3052000,25.50812339782715
1719213329.5552406,3056000,27.222637176513672
1719213358.0090075,3060000,24.52467918395996
1719213389.6365912,3064000,26.343852996826172
1719213419.329951,3068000,26.77252769470215
1719213448.5646448,3072000,28.36443519592285
1719213478.1420643,3076000,25.447425842285156
1719213506.562767,3080000,24.910226821899414
1719213534.052772,3084000,24.07593536376953
1719213558.3486903,3088000,24.402753829956055
1719213583.9711072,3092000,23.166593551635742
1719213614.3719757,3096000,23.562255859375
1719213643.4939559,3100000,28.482084274291992
1719213672.290289,3104000,27.781007766723633
1719213700.1570423,3108000,26.038089752197266
1719213728.9744835,3112000,23.764755249023438
1719213758.6273484,3116000,22.080059051513672
1719213786.5716858,3120000,27.764680862426758
1719213816.888154,3124000,25.183080673217773
1719213839.7771044,3128000,21.71581268310547
1719213866.8899171,3132000,26.472780227661133
1719213894.7006583,3136000,23.791765213012695
1719213923.084312,3140000,21.737079620361328
1719213952.6714566,3144000,25.253433227539062
1719213982.3394651,3148000,24.214065551757812
1719214012.130852,3152000,26.149356842041016
1719214040.54756,3156000,26.057729721069336
1719214069.4797566,3160000,25.673704147338867
1719214093.2558386,3164000,23.996898651123047
1719214117.3433964,3168000,25.435144424438477
1719214146.3983326,3172000,27.26027488708496
1719214175.11354,3176000,22.50731658935547
1719214204.9426234,3180000,25.91514015197754
1719214234.1582696,3184000,26.486360549926758
1719214263.0784614,3188000,26.714590072631836
1719214291.7016754,3192000,23.68633270263672
1719214321.088853,3196000,29.630168914794922
1719214349.565761,3200000,27.091657638549805
1719214373.1442728,3204000,26.381568908691406
1719214398.7221467,3208000,28.23966407775879
1719214429.0564358,3212000,26.550817489624023
1719214458.167346,3216000,23.788808822631836
1719214487.4301407,3220000,26.302703857421875
1719214518.4993222,3224000,25.921165466308594
1719214547.6882524,3228000,25.14691925048828
1719214578.425554,3232000,25.490205764770508
1719214607.1584768,3236000,26.794095993041992
1719214631.1367493,3240000,25.77750015258789
1719214657.9027398,3244000,24.262001037597656
1719214689.1261802,3248000,22.89397430419922
1719214720.11366,3252000,22.2415714263916
1719214750.233633,3256000,24.213029861450195
1719214780.8177261,3260000,24.40020179748535
1719214810.995776,3264000,27.984086990356445
1719214840.5694497,3268000,25.843198776245117
1719214871.0139096,3272000,23.178272247314453
1719214898.6508877,3276000,23.796977996826172
1719214922.7536867,3280000,21.370262145996094
1719214950.8228395,3284000,24.21540641784668
1719214981.3577938,3288000,24.31880760192871
1719215011.3624184,3292000,24.818096160888672
1719215042.0467536,3296000,22.974536895751953
1719215072.7306883,3300000,27.12276268005371
1719215103.6874816,3304000,20.436450958251953
1719215134.9761088,3308000,27.674819946289062
1719215165.3844728,3312000,26.64253807067871
1719215191.9727802,3316000,26.464122772216797
1719215216.1680772,3320000,22.125608444213867
1719215244.7993197,3324000,25.25897789001465
1719215275.4025834,3328000,28.176006317138672
1719215306.262441,3332000,27.537662506103516
1719215338.0274878,3336000,27.051204681396484
1719215367.3981783,3340000,24.01690673828125
1719215397.6024253,3344000,23.277170181274414
1719215428.0745203,3348000,26.463298797607422
1719215454.606972,3352000,24.349071502685547
1719215479.0691047,3356000,27.52245330810547
1719215508.7440155,3360000,25.073896408081055
1719215540.0224345,3364000,26.47909927368164
1719215571.0407774,3368000,26.941484451293945
1719215600.8776405,3372000,24.910629272460938
1719215630.8186464,3376000,28.161623001098633
1719215660.5834515,3380000,23.088573455810547
1719215690.486881,3384000,27.286945343017578
1719215720.9155803,3388000,25.93976402282715
1719215745.1911504,3392000,26.667322158813477
1719215769.0165293,3396000,25.388851165771484
1719215799.5582092,3400000,21.906391143798828
1719215829.3380926,3404000,26.773635864257812
1719215858.74996,3408000,28.15475845336914
1719215889.0089235,3412000,26.64881134033203
1719215917.9120343,3416000,28.82133674621582
1719215947.3064172,3420000,25.434019088745117
1719215976.3884492,3424000,22.500083923339844
1719216006.1477723,3428000,28.992599487304688
1719216031.5794594,3432000,26.470598220825195
1719216055.8758266,3436000,26.545503616333008
1719216084.4113805,3440000,27.02208137512207
1719216116.7671068,3444000,26.39901351928711
1719216146.2366107,3448000,24.661758422851562
1719216176.040311,3452000,24.40800666809082
1719216205.8829618,3456000,24.74374008178711
1719216234.7850966,3460000,28.750659942626953
1719216264.9627976,3464000,24.93246841430664
1719216293.4208226,3468000,24.557336807250977
1719216321.659781,3472000,23.045623779296875
1719216346.4552062,3476000,21.848587036132812
1719216369.082804,3480000,24.548961639404297
1719216396.753285,3484000,26.46233367919922
1719216425.611002,3488000,23.951967239379883
1719216455.095327,3492000,28.045578002929688
1719216483.821786,3496000,23.669538497924805
1719216512.3374789,3500000,28.787029266357422
1719216540.7091606,3504000,26.169687271118164
1719216569.3285277,3508000,26.945907592773438
1719216596.8617558,3512000,26.159032821655273
1719216620.846499,3516000,26.191734313964844
1719216645.0033503,3520000,25.925514221191406
1719216675.6655018,3524000,24.672006607055664
1719216704.7616005,3528000,23.910335540771484
1719216734.66106,3532000,28.50362205505371
1719216763.8848944,3536000,26.21637535095215
1719216793.8963945,3540000,26.305068969726562
1719216823.1918232,3544000,26.086483001708984
1719216855.1801653,3548000,26.689844131469727
1719216883.2428594,3552000,25.51681900024414
1719216907.2596016,3556000,26.788362503051758
1719216933.8428671,3560000,28.11421012878418
1719216964.5159662,3564000,28.763338088989258
1719216993.8840158,3568000,26.030776977539062
1719217024.3755133,3572000,27.309865951538086
1719217054.3705916,3576000,22.952844619750977
1719217082.3164208,3580000,28.568735122680664
1719217113.211742,3584000,23.467140197753906
1719217143.4895566,3588000,28.376708984375
